"semaine";"annee";"sexe";"classe_age";"nb_patient"
16;2013;1;"0-11";62
16;2013;1;"12-18";177
16;2013;1;"19-25";1806
16;2013;1;"26-50";36092
16;2013;1;"51-75";71985
16;2013;1;">75";34128
16;2013;2;"0-11";59
16;2013;2;"12-18";276
16;2013;2;"19-25";2446
16;2013;2;"26-50";49862
16;2013;2;"51-75";120716
16;2013;2;">75";85424
16;2013;9;">75";79
17;2013;1;"0-11";56
17;2013;1;"12-18";170
17;2013;1;"19-25";1719
17;2013;1;"26-50";35659
17;2013;1;"51-75";72653
17;2013;1;">75";34470
17;2013;2;"0-11";41
17;2013;2;"12-18";285
17;2013;2;"19-25";2348
17;2013;2;"26-50";49207
17;2013;2;"51-75";119727
17;2013;2;">75";85392
17;2013;9;">75";69
18;2013;1;"0-11";59
18;2013;1;"12-18";193
18;2013;1;"19-25";1596
18;2013;1;"26-50";34607
18;2013;1;"51-75";71812
18;2013;1;">75";34136
18;2013;2;"0-11";41
18;2013;2;"12-18";265
18;2013;2;"19-25";2202
18;2013;2;"26-50";47927
18;2013;2;"51-75";118107
18;2013;2;">75";84249
18;2013;9;">75";138
19;2013;1;"0-11";44
19;2013;1;"12-18";139
19;2013;1;"19-25";1286
19;2013;1;"26-50";28799
19;2013;1;"51-75";58895
19;2013;1;">75";28441
19;2013;2;"0-11";40
19;2013;2;"12-18";248
19;2013;2;"19-25";1816
19;2013;2;"26-50";38683
19;2013;2;"51-75";96968
19;2013;2;">75";70195
19;2013;9;">75";226
20;2013;1;"0-11";63
20;2013;1;"12-18";192
20;2013;1;"19-25";1552
20;2013;1;"26-50";34423
20;2013;1;"51-75";72050
20;2013;1;">75";34196
20;2013;2;"0-11";54
20;2013;2;"12-18";332
20;2013;2;"19-25";2340
20;2013;2;"26-50";48270
20;2013;2;"51-75";120502
20;2013;2;">75";87555
20;2013;9;">75";306
21;2013;1;"0-11";77
21;2013;1;"12-18";261
21;2013;1;"19-25";1997
21;2013;1;"26-50";40620
21;2013;1;"51-75";79971
21;2013;1;">75";37650
21;2013;2;"0-11";60
21;2013;2;"12-18";430
21;2013;2;"19-25";2817
21;2013;2;"26-50";56580
21;2013;2;"51-75";132923
21;2013;2;">75";92753
21;2013;9;">75";407
22;2013;1;"0-11";80
22;2013;1;"12-18";238
22;2013;1;"19-25";1793
22;2013;1;"26-50";38649
22;2013;1;"51-75";76439
22;2013;1;">75";34831
22;2013;2;"0-11";75
22;2013;2;"12-18";377
22;2013;2;"19-25";2622
22;2013;2;"26-50";53554
22;2013;2;"51-75";126750
22;2013;2;">75";87051
22;2013;9;">75";77
23;2013;1;"0-11";90
23;2013;1;"12-18";217
23;2013;1;"19-25";1725
23;2013;1;"26-50";35713
23;2013;1;"51-75";73754
23;2013;1;">75";34879
23;2013;2;"0-11";80
23;2013;2;"12-18";337
23;2013;2;"19-25";2363
23;2013;2;"26-50";49753
23;2013;2;"51-75";122963
23;2013;2;">75";86811
23;2013;9;">75";49
24;2013;1;"0-11";91
24;2013;1;"12-18";211
24;2013;1;"19-25";1714
24;2013;1;"26-50";36334
24;2013;1;"51-75";73150
24;2013;1;">75";34007
24;2013;2;"0-11";71
24;2013;2;"12-18";326
24;2013;2;"19-25";2373
